python-gobject 3.52.3-3
python-h11 0.14.0-6
python-httpcore 1.0.7-2
python-httpx 0.28.1-2
python-hypothesis 6.130.4-1
python-idna 3.10-2
python-iniconfig 2.0.0-6
python-inquirer 3.4.0-1
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jinja 1:3.1.5-1
python-kiwisolver 1.4.5-5
python-lxml 5.3.1-1
python-magic 1:0.4.27-5
python-mako 1.3.9-1
python-markdown 3.7-2
python-markdown-it-py 3.0.0-4
python-markupsafe 2.1.5-3
python-matplotlib 3.10.1-1
python-mdurl 0.1.2-8
python-more-itertools 10.6.0-1
python-mov-cli-test 1.1.7-1
python-numpy 2.2.4-1
python-opengl 3.1.7-2
python-orjson 3.10.16-1
python-packaging 24.2-3
python-pillow 11.1.0-1
python-pip 25.0.1-1
python-pipx 1.7.1-2
python-pivy 1:0.6.9-1
python-platformdirs 4.3.6-2
python-pluggy 1.5.0-3
python-ply 3.11-14
python-psutil 7.0.0-1
python-pyaml 24.9.0-2
python-pycodestyle 2.12.1-2
python-pycparser 2.22-3
python-pydantic 2.10.6-1
python-pydantic-core 2:2.27.2-1
python-pygments 2.19.1-1
python-pyparsing 3.2.1-1
python-pyqt6 6.8.1-2
python-pyqt6-sip 13.10.0-1
python-pytest 1:8.3.5-1
python-pytubefix 8.12.2-1
python-rapidfuzz 3.12.2-1
python-readchar 4.2.1-1
python-requests 2.32.3-4
python-rich 13.9.4-3
python-setuptools 1:75.8.0-1
python-shellingham 1.5.4-3
python-shtab 1.7.1-3
python-six 1.17.0-1
python-smartypants 2.0.1-13
python-sniffio 1.3.1-4
python-sortedcontainers 2.4.0-7
python-soupsieve 2.6-2
python-termcolor 2.5.0-1
python-thefuzz 0.22.1-2
python-toml 0.10.2-12
python-tqdm 4.67.1-2
python-typer 0.15.2-1
python-typing_extensions 4.12.2-3
python-typogrify 2.0.7-16
python-unidecode 1.3.8-4
python-urllib3 2.3.0-1
